Rank,Richer_country,GDP_rich,Year,Poorer_country,GDP_poor,Year,Ratio,Continent,,,,
81, Argentina,20900,2017 est., Bolivia,7500,2017 est.,2.787,Americas,,,,
82, Ivory Coast,3900,2017 est., Liberia,1400,2017 est.,2.786,Africa,,,,
83, Ghana,4700,2017 est., Togo,1700,2017 est.,2.765,Africa,,,,
84, Egypt,12700,2017 est., Sudan,4600,2017 est.,2.761,Africa,,,,
85, Pakistan,5400,2017 est., Afghanistan,2000,2017 est.,2.7,Asia,,,,
86, Brunei,78200,2017 est., Malaysia,29000,2017 est.,2.697,Asia,,,,
87, China,16700,2017 est., Myanmar,6200,2017 est.,2.694,Asia,,,,
88, India,7200,2017 est.,   Nepal,2700,2017 est.,2.667,Asia,,,,
89, Tanzania,3200,2017 est., Malawi,1200,2017 est.,2.667,Africa,,,,
90, Tanzania,3200,2017 est., Mozambique,1200,2017 est.,2.667,Africa,,,,
91, Monaco,115700,2015 est., France,43800,2017 est.,2.642,Europe,,,,
92, Rwanda,2100,2017 est., DR Congo,800,2017 est.,2.625,Africa,,,,
93, Turkmenistan,18100,2017 est., Uzbekistan,6900,2017 est.,2.623,Asia,,,,
94, Russia,27800,2017 est., Georgia,10700,2017 est.,2.598,Europe / Asia,,,,
95, Norway,71800,2017 est., Russia,27800,2017 est.,2.583,Europe,,,,
96, Nigeria,5900,2017 est., Benin,2300,2017 est.,2.565,Africa,,,,
97, Nigeria,5900,2017 est., Chad,2300,2017 est.,2.565,Africa,,,,
98, Turkey,26900,2017 est., Georgia,10700,2017 est.,2.514,Asia,,,,
99, Ghana,4700,2017 est., Burkina Faso,1900,2017 est.,2.474,Africa,,,,
100, Mexico,19900,2017 est., Guatemala,8100,2017 est.,2.457,Americas,,,,
101, Luxembourg,106300,2017 est., France,43800,2017 est.,2.427,Europe,,,,
102, China,16700,2017 est., Vietnam,6900,2017 est.,2.42,Asia,,,,
103, Thailand,17900,2017 est., Laos,7400,2017 est.,2.419,Asia,,,,
104, Mexico,19900,2017 est., Belize,8300,2017 est.,2.398,Americas,,,,
105, Malaysia,29000,2017 est., Indonesia,12400,2017 est.,2.339,Asia,,,,
106, Kenya,3500,2017 est., South Sudan,1500,2017 est.,2.333,Africa,,,,
107, China,16700,2017 est., India,7200,2017 est.,2.319,Asia,,,,
108, Indonesia,12400,2017 est., Timor-Leste,5400,2017 est.,2.296,Asia,,,,
109, Luxembourg,106300,2017 est., Belgium,46600,2017 est.,2.281,Europe,,,,
110, Qatar,124500,2017 est., Saudi Arabia,54800,2017 est.,2.272,Asia,,,,
111, Liechtenstein,139100,2009 est.,  Switzerland,61400,2017 est.,2.265,Europe,,,,
112, China,16700,2017 est., Laos,7400,2017 est.,2.257,Asia,,,,
113, Djibouti,3600,2017 est., Eritrea,1600,2017 est.,2.25,Africa,,,,
114, Greece,27700,2017 est., Albania,12500,2017 est.,2.216,Europe,,,,
115, Libya,10000,2017 est., Sudan,4600,2017 est.,2.174,Africa,,,,
116, Belarus,18900,2017 est., Ukraine,8700,2017 est.,2.172,Europe,,,,
117, Uzbekistan,6900,2017 est., Tajikistan,3200,2017 est.,2.156,Asia,,,,
118, South Sudan,1500,2017 est., Central African Republic,700,2017 est.,2.143,Africa,,,,
119, Russia,27800,2017 est., Mongolia,13000,2017 est.,2.138,Europe / Asia,,,,
120, Argentina,20900,2017 est., Paraguay,9800,2017 est.,2.133,Americas,,,,
121, Iran,20200,2017 est., Armenia,9500,2017 est.,2.126,Asia,,,,
122, Luxembourg,106300,2017 est., Germany,50400,2017 est.,2.109,Europe,,,,
123, Sudan,4600,2017 est., Ethiopia,2200,2017 est.,2.091,Africa,,,,
124, Brazil,15600,2017 est., Bolivia,7500,2017 est.,2.08,Americas,,,,
125, Ivory Coast,3900,2017 est., Burkina Faso,1900,2017 est.,2.053,Africa,,,,
126, Mauritania,4400,2017 est., Mali,2200,2017 est.,2,Africa,,,,
127, Sudan,4600,2017 est., Chad,2300,2017 est.,2,Africa,,,,
